https://github.com/lukes/ISO-3166-Countries-with-Regional-Codes/blob/master/all/all.csv
https://www.evertype.com/standards/iso9/document/n02.html

Pl.	name	nom	dir.	type	loc.	source	?
x	Gaudiya	gaudiya	LTR	syll	SOA	H	 
x	Grantha	grantha	LTR	syll	SOA	GH	o
x	Gupta = Bramhi?	gupta	LTR	syll	SOA	FGH	 
x	Hauranitic	haouranitique	RTL	cons	WSA	F	 
x	Hurrian cuneiform = Hittite?	cunéiforme hurrien	LTR	mixt	WSA	H	 
x	Ilianore	ilianore	 	 	FIC	 	 
x	Jain Nagari	nagari jaïnique	LTR	syll	SOA	H	 
x	Jiagu	jiagu	TTB	ideo	ESA	GHN	 
x	Jindai	jindaï	 	 	 	N	 
x	Kadamba	kadamba	 	 	 	H	 
x	Kashmiri	kachmirî	LTR	cons	SOA	H	 
x	Kavi	kavî	LTR	syll	SEA	G	 
x	Khamti (Kham); Khmati? (U. unif. Ahom)	khamti (kham)	LTR	syll	 	G?U	o
x	Khotanese	khotanais	LTR	syll	 	N	 
x	Kinya	kinya	 	 	FIC	 	 
x	Koleruttu	koleruttu	LTR	syll	SOA	H	 
x	Kutila	kutila	LTR	syll	SOA	FH	 
x	Lampong	lampong	LTR	syll	SEA	FGH	o
x	Landa (Khudawadi)	lahnda (khudawadi)	LTR	syll	SOA	H	 
x	Landa (Sindhi)	lahnda (sindhi)	LTR	syll	SOA	GHN	 
x	Lihyanic	lihyanique	RTL	cons	WSA	H	 
x	Lolo (U. unif. Yi)	lolo	 	mixt	 	GHNU	*
x	Maithili	maïthili	LTR	syll	SOA	G	o
x	Malinshi	malinchi	LTR	syll	AFR	 	 
x	Mangyan (Philippines) (U. unif. Tagalog)	manguien (Philippines)	LTR	syll	SEA	NU	 
x	Medieval Sinhala	singhalais du moyen-âge	LTR	syll	SOA	H	 
x	Mende	méndé	LTR	syll	AFR	G	 
x	Minahasa	minahasa	LTR	 	AMK	G	 
x	Moabite	moabite	RTL	cons	WSA	F	 
x	Multani	multani	LTR	syll	SOA	FGH	o
x	Nagpuri	nagpuri	LTR	syll	SOA	G	o
x	Neo-Punic	néo-punique	RTL	cons	WSA	HIN	 
x	Nepalese	népalais	LTR	syll	SOA	H	 
x	Newari	néwari	LTR	syll	SOA	FH	 
x	Nsibidi	nsibidi	LTR	ideo	AFR	G	o
x	Nubian (U. unif. Tifinagh)	nubien	LTR	alph	AFR	GU	 
x	Oberi Okaime	obéri okaïmé	LTR	alph	AFR	G	o
x	Old Bulgarian	ancien bulgarien	LTR	alph	EUR	GN	 
x	Old Kannada	ancien kannara	LTR	syll	SOA	H	 
x	Old North Semitic	ancien sémitique du nord	RTL	cons	WSA	H	 
x	Old Nubian	ancien nubien	RTL	cons	WSA	H	 
x	Old Peguan	ancien pégüan	LTR	syll	SEA	H	 
x	Pali (Kyoktsa & Painted)	pali (kyoktsa & peinté)	LTR	syll	SEA	FH	 
x	Pallava Grantha	grantha pallava	LTR	syll	SOA	H	 
x	Parthian	parthien	 	 	 	N	 
x	Phrygian	phrygien	LTR	alph	WSA	GH	 
x	Proto-Tyrrhenian	proto-tyrrhenien	LTR	alph	EUR	H	 
x	Punic	punique	RTL	cons	WSA	FHIN	 
x	Safatenic	safaténique	RTL	cons	WSA	H	 
x	Saki	saki	LTR	syll	SOA	H	 
x	Satavahana	satavahana	LTR	syll 	 	N	 
x	Sharada	sharada	LTR	syll	SOA	H	o
x	Siddhamatrka	siddhamatrka	LTR	syll	 	H	 
x	Sidetic	sidétique	 	 	 	H	 
x	Sinai	sinaï	RTL	cons	WSA	H	 
x	Sinaitic	sinaïtique	RTL	alph	WSA	GH	 
x	Sindhi =? Multani	sindhi	LTR	syll	SOA	G	o
x	Solresol	solresol	 	 	FIC	 	 
x	Tagbanwa, Belarmino (Philippines) (U. unif. Tagalog)	tagbanu, bélarmino (Philippines)	LTR	syll	SEA	GNU	o
x	Takri (Chameali)	takri (tchaméali)	LTR	syll	 	GHN	o
x	Takri (Jaunsari)	takri (jaunsari)	LTR	syll	 	GH	o
x	Tartaria	tartarien	 	 	 	N	 
x	Tha(l)mudic	tha(l)moudique	RTL	cons	WSA	GH	 
x	Tironian notæ	notæ tironiennes	LTR	alph	EUR	FG	 
x	Tocharian	tocarien	 	 	 	GH	 
x	Tokhaian (Kuchen)	tokhaien (kutchen)	LTR	syll	SOA	G	 
x	Turdetanian	turdetanien	RTL	cons	EUR	GH	 
x	Unifon	unifon	LTR	alph	AMK	 	 
x	Vatteluttu	vatteluttu	LTR	syll	SOA	GH	 
x	Verdurian	verdourien	 	 	FIC	 	 
x	Visible Speech	Visible Speech	LTR	alph	AMK	 	 
x	Yao	yao	TTB	ideo	ESA	GH	*
x	Yezidi	yézidi	RTL	cons	WSA	G	o
x	Yunnan	yunnan	LTR	mixt	ESA	G	o 
